Sort Date:,overallStatus,Planned Sort Down Time:,Actual Sort Down Time:,Sort Down Variance:,Delay Code,Short Delay Narrative,Box Volume Plan,Box Volume Actual,Box Volume Variance,Box Volume Plan vs Act,Box Average Throughput,SPSS Volume Plan,SPSS Volume Actual,SPSS Volume Variance,SPSS Volume Plan vs Act,Dom IB-On Time%,INTL IB-On Time%,After 1:00 Sum / 1:01 - 1:30,After 1:00 Sum / 1:31 - 2:00,After 1:00 Sum / 2:01 - 2:30,After 1:00 Sum / 2:31 - 3:00,After 1:00 Sum / 3:01 - 3:30,After 1:00 Sum / After 3:30, After 1:00 Interval Total  ,Landing Direction ,North or South Inbound,Arrival Rate,Overall Inbound,ATA of 00:30 or later ,ATA of 00:30 or later-On Time%,Dept. Direction,North or South Outbound,Out Time Average,Off Time Average,Flights worked on Recovery Sort,Extended Parameter Flights/Trucks,Rolled Flights / Not Worked,Rolled Flight # Box Pieces / Not Worked,Rolled Flight # Doc Pieces / Not Worked,FDEs Rolled (Worked 100pcs>),Estimated Rolled Pieces,Healthcare Volume recieved ,Healthcare volume departed,Healthcare variance,Temp Controlled without CONS,Total Healthcare Volume Alt Moved,Lives,Unprocessed Lives,Lives Not moved,# Adhoc Feeder Flights,Total Adhoc Feeder Volume,# Truck Routes,Truck Routes Departed <0600,Total Alt Moved volume on Feeders and Trucks
4/6/2026,Delayed,2:07,2:17,10,DS,EOPS Outage,624.3K,592.0K,-32.3K,94.83%,137.4K,550.5K,564.0K,13.5K,102.45%,84%,74%,2,0,0,0,0,0,2,36 L/R & p/27,N,92,140,16,25%,18 L/R & 27,S,11,10,0,0,0,0,0,0,,,,,,,0.6K,0.0K,0,0,0,0,0,0
4/7/2026,Delayed,2:07,2:22,15,MS,Inbound,591.7K,561.8K,-29.9K,94.95%,128.8K,652.4K,712.1K,59.7K,109.15%,90%,78%,2,1,0,0,0,0,3,36 L/R & 9,N,92,146,13,62%,18 L/R & 27,S,15.1,16,0,0,0,0,0,0,17.3K,162.4K,158.8K,3614,65,0,9.6K,0.0K,,,,,,
4/2/2026,Delayed,2:07,2:22,15,WS,Weather,579.2K,531.0K,-48.2K,91.68%,125.3K,655.5K,598.8K,-56.7K,91.35%,70%,64%,7,2,0,1,0,0,10,18 L/R,S,56,137,28,29%,18 L/R & 27,S,12.3,12.3,0,0,1,"3,416","5,126",0,18.6K,169.7K,158.0K,11.73K,48,0,10.2K,0.0K,0,0,0,0,0,0
4/1/2026,Delayed,2:07,2:22,15,WS,Weather,617.3K,583.2K,-34.1K,94.48%,135.2K,674.7K,609.0K,-65.7K,90.26%,63%,46%,10,1,1,0,0,0,12,18 L/R,S,56,144,32,25%,18 L/R & 27,S,14.9,14.6,0,0,1,"3,400","3,100",0,18.6K,161.6K,152.7K,8586,166,0,10.2K,0.0K,0,0,0,0,0,0
3/30/2026,Delayed,2:20,2:27,7,XS/WS,Volume/Weather,690.4K,669.6K,-20.8K,96.99%,144.7K,616.3K,590.8K,-25.5K,95.86%,52%,30%,8,3,0,0,0,0,11,18 L/R,S,57,143,34,21%,18 L/R,S,21.1,20.9,0,0,1,"3,600","4,600",0,32.3K,189.6K,178.8K,9459,144,0,11.0K,0.0K,0,0,0,0,0,0
4/8/2026,Delayed,2:07,2:17,10,WS,Inbound,564.3K,535.6K,-28.7K,94.91%,128.5K,628.8K,619.7K,-9.1K,98.55%,66%,52%,4,2,0,0,0,0,6,18 L/R,S,60,148,30,40%,18 L/R & 27,S,7.1,7.4,,,,,,,,,,,,,,,,,,,,
4/9/2026,Delayed,2:07,2:27,20,WS,Inbound,546.3K,568.1K,21.8K,103.99%,130.8K,647.0K,583.0K,-64.0K,90.11%,63%,59%,9,0,0,0,0,0,9,18 L/R,S,61,144,28,36%,18 L/R,S,13.5,12.3,0,0,0,0,0,0,11.3K,155.2K,151.3K,3879,59,0,1.9K,0.0K,37,0,0,0,0,
4/10/2026,Delayed,2:07,2:27,20,VS,SSMX SPSS,456.8K,494.5K,37.7K,108.25%,107.3K,759.9K,782.1K,22.2K,102.92%,91%,74%,3,0,0,0,0,0,3,36 L/R & 9/27,N,92,114,21,81%,18 L/R & 27,S ,14.7,13.1,0,0,0,0,0,0,1.3K,36.2K,35.2K,1002,20,0,0.7K,0.0K,,,,,,
4/13/2026,Delayed,2:07,2:42,35,WS/ZS,Inbound/Volume,650.4K,702.3K,51.9K,107.98%,145.2K,598.1K,612.2K,14.1K,102.36%,62%,46%,8,0,1,0,0,0,9,18 L/R,S,58,142,33,33%,18 L/R & 27,S,31.3,32,0,0,0,0,0,0,0,185.7K,179.8K,5874,209,0,11.8K,0.0K,0,0,0,0,0,0
4/14/2026,Delayed,2:07,2:27,20,WS/ZS,Inbound/Volume,585.5K,602.8K,17.3K,103.40%,137.0K,681.8K,662.3K,-19.5K,95.20%,66%,65%,2,2,0,0,0,0,4,18 L/R,S,58,142,30,46%,18 L/R & 27,S,20,19.2,,,,,,,,171.0K,163.7K,7333,121,0,10.5K,0.0K,,,,,,
4/15/2026,Delayed,2:07,2:27,20,WS,Inbound,564.1K,582.7K,18.6K,103.60%,133.3K,647.0K,669.5K,22.5K,105.20%,66%,52%,6,2,0,1,0,0,9,18 L/R,S,58,147,31,39%,18 L/R & 27,S,17.8,19,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
